stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55009020504,Census Tract 205.04,97,0,1.4,0.1,0.1,1.4,0.7,0,0,105052,0.3161,0.8
55009020600,Census Tract 206,94.8,0,1,0.3,1.8,2.1,0.2,0.2,2.4,75580,0.4095,0.9
55009020702,Census Tract 207.02,86.4,0.1,8.5,0.4,1.2,3.5,0.3,0.1,0.9,112517,0.4169,0
55087012102,Census Tract 121.02,95.1,0,0,0.4,0.6,3.9,0,0.2,3.2,65603,0.392,7
55075960700,Census Tract 9607,96,0,0,1,2.8,0.2,0,0.2,4.7,44057,0.4048,4
55009020704,Census Tract 207.04,68.6,1.1,6.6,2.8,2.4,18.5,4.6,0,1.8,51162,0.418,5.7
55009020800,Census Tract 208,81.8,1.3,0.5,0.4,1.8,14.1,5.8,0.7,2.2,44345,0.3892,13.4
55009020900,Census Tract 209,82.5,0,2.1,0,2.8,12.6,4.1,0,0.8,75949,0.3779,3.6
55009021000,Census Tract 210,88,6,0.9,0,0.4,4.7,0.9,0.7,1.4,80774,0.4416,9.5
55009021200,Census Tract 212,88.5,0.5,0.5,0.7,0.8,8.9,0.9,0,0,73438,0.3658,0
55009021301,Census Tract 213.01,84.6,0.8,4.8,2.6,2.7,4.4,1.1,0,2.5,68500,0.3448,3.5
55009021302,Census Tract 213.02,86.7,0.5,3.4,0.9,4.2,4.3,2.6,0.2,2.4,77995,0.3219,1.2
55009021303,Census Tract 213.03,79.1,5,2.8,2.1,1.5,9.4,2.4,2,6.5,39786,0.3883,13.8
55075960200,Census Tract 9602,95.3,0.4,1.3,0.6,1.2,1.2,0.4,1,5.5,41891,0.404,9.4
55087012603,Census Tract 126.03,97.5,0,0.3,0.6,1.2,0.4,0.3,0,0.6,101234,0.2649,0
55011960200,Census Tract 9602,96.8,0.8,0,0.4,0.4,1.5,0.4,0,8.7,44051,0.4029,9.8
55009021304,Census Tract 213.04,91.7,0,2,1.8,2.5,2,1.6,0,3.3,46875,0.3812,3.7
55009021600,Census Tract 216,95.2,0.5,1,0.4,0.6,2.3,0.4,1.6,1.1,65702,0.3858,2.9
55009940002,Census Tract 9400.02,81.3,0.4,3.5,6.5,4.1,4.2,0.6,0.1,1,105188,0.4234,1.4
55011960100,Census Tract 9601,97.1,0.2,0,0,0.5,2.2,1.6,0.2,3.8,62981,0.4199,4.9
55009940003,Census Tract 9400.03,71.8,2.1,1.4,15.3,2,7.3,1.2,1,4.7,59167,0.4471,5.7
55009940004,Census Tract 9400.04,70.7,3.7,0,10.1,7.9,7.5,1,1.2,3.9,73274,0.3781,1.1
55009020505,Census Tract 205.05,97.5,0.1,0,0.4,0,2,0.3,0,0.5,55295,0.3526,16.7
55011960400,Census Tract 9604,97.3,0.8,0.2,0,1.1,0.8,0,0.1,2.2,66523,0.3628,3.1
55015020200,Census Tract 202,91.6,0,0.2,1.4,1.3,5.4,2.8,0,3.5,72566,0.3703,1.1
55087012604,Census Tract 126.04,93.5,1.7,2.4,0,1.9,0.6,0.6,0,1.3,105694,0.39,0.5
55015020500,Census Tract 205,93.3,0.7,0,0.3,1.8,3.9,0,0,2.5,57076,0.4235,9.1
55075960600,Census Tract 9606,97.2,0,0.7,0.4,1.3,0.4,0.1,0,4.9,48224,0.4267,4.5
55015020303,Census Tract 203.03,78.9,3.2,12.4,0,1.1,4.3,3.4,2.9,2.9,65417,0.337,4.1
55015020304,Census Tract 203.04,72.5,2.3,7.3,0.9,2.1,15,0.9,0,5.9,59188,0.3948,6.6
55015020306,Census Tract 203.06,97.5,0.8,0,0.3,0.5,0.9,0.1,0,0.2,100417,0.3556,0.4
55015020308,Census Tract 203.08,89,1.6,1.8,0,3.3,4.3,0.8,0,1,99004,0.4989,1.5
55017010900,Census Tract 109,96,0.5,0.4,0.1,1.1,2.1,1.2,0,2.2,51625,0.3905,4.7
55017011200,Census Tract 112,97.9,0.2,0.3,0,1,0.7,0,0,6.7,58286,0.403,3.7
55015020400,Census Tract 204,95.4,0.3,0.3,0.2,2.2,1.6,0.5,0.3,1.7,73826,0.3948,2.2
55015020700,Census Tract 207,90.4,0,2.2,0,0.2,7.2,0,0,1.7,124118,0.2757,0.6
55015020800,Census Tract 208,91.3,1.2,2.7,0.3,0.5,3.9,1.1,0,1,73506,0.4191,0.9
